iter	Passed	Remaining
0	166	332849
1	188	188496
2	210	139956
3	230	114816
4	250	100004
5	270	89864
6	291	83053
7	312	77799
8	333	73808
9	353	70428
10	374	67695
11	396	65614
12	416	63665
13	435	61773
14	455	60286
15	476	59056
16	496	57962
17	515	56776
18	535	55878
19	555	54987
20	574	54102
21	593	53341
22	612	52654
23	631	51977
24	649	51274
25	668	50751
26	687	50263
27	705	49669
28	724	49208
29	743	48824
30	765	48638
31	784	48250
32	803	47921
33	823	47616
34	842	47310
35	860	46956
36	879	46678
37	898	46405
38	918	46208
39	937	45952
40	956	45693
41	975	45469
42	993	45202
43	1011	44965
44	1030	44771
45	1050	44633
46	1069	44458
47	1088	44247
48	1106	44071
49	1125	43885
50	1144	43753
51	1162	43565
52	1181	43399
53	1200	43270
54	1219	43108
55	1238	42979
56	1257	42862
57	1275	42722
58	1294	42598
59	1312	42452
60	1331	42327
61	1350	42200
62	1368	42080
63	1386	41942
64	1405	41834
65	1424	41739
66	1442	41613
67	1460	41486
68	1479	41395
69	1497	41291
70	1515	41185
71	1534	41094
72	1552	40984
73	1570	40887
74	1590	40810
75	1608	40720
76	1628	40670
77	1647	40593
78	1666	40513
79	1685	40445
80	1705	40394
81	1723	40322
82	1742	40236
83	1761	40186
84	1780	40110
85	1798	40030
86	1817	39967
87	1835	39890
88	1856	39862
89	1875	39807
90	1893	39729
91	1913	39676
92	1931	39604
93	1950	39542
94	1968	39473
95	1986	39402
96	2006	39373
97	2025	39316
98	2044	39260
99	2062	39192
100	2081	39127
101	2098	39050
102	2117	38991
103	2136	38942
104	2154	38889
105	2173	38837
106	2190	38760
107	2208	38681
108	2227	38636
109	2245	38579
110	2264	38534
111	2282	38468
112	2300	38418
113	2319	38378
114	2338	38326
115	2357	38282
116	2376	38239
117	2395	38199
118	2416	38189
119	2436	38174
120	2456	38141
121	2474	38095
122	2493	38056
123	2512	38008
124	2532	37988
125	2550	37927
126	2569	37896
127	2587	37839
128	2606	37809
129	2625	37770
130	2644	37727
131	2663	37694
132	2683	37664
133	2702	37628
134	2720	37581
135	2737	37526
136	2755	37475
137	2775	37443
138	2793	37403
139	2813	37375
140	2832	37339
141	2850	37297
142	2868	37253
143	2886	37206
144	2906	37186
145	2925	37150
146	2944	37115
147	2964	37094
148	2982	37057
149	3002	37028
150	3022	37004
151	3041	36982
152	3060	36951
153	3080	36930
154	3100	36900
155	3118	36865
156	3137	36832
157	3156	36795
158	3174	36759
159	3195	36751
160	3214	36718
161	3234	36697
162	3255	36687
163	3274	36661
164	3294	36633
165	3313	36605
166	3333	36583
167	3352	36553
168	3371	36528
169	3391	36508
170	3411	36484
171	3429	36443
172	3447	36402
173	3465	36367
174	3483	36329
175	3502	36300
176	3523	36285
177	3543	36270
178	3561	36235
179	3581	36208
